platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,fast-attach-corrected,2,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,fast-attach-corrected,2,parent_request_to_ack_ms,,,,,,,,,,,,
otns,fast-attach-corrected,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,fast-attach-corrected,2,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,fast-attach-corrected,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,fast-attach-corrected,2,parent_response_to_ack_ms,100,4.00753034,0.0005336682891349634,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.0075362624999995
otns,fast-attach-corrected,2,parent_response_ack_to_child_id_request_ms,100,1.6656,0.9221690723396648,1.576,1.04,0.616,0.936,1.976,3.511999999999999,0.616,4.456,1.536
hardware,fast-attach-corrected,2,parent_response_ack_to_child_id_request_ms,100,6.86748987,0.8203759652836767,7.1039200000000005,1.2985462500000002,5.5756452,6.2089565,7.5075027500000004,8.02597975,5.208015,8.143902,6.8975717375
otns,fast-attach-corrected,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,fast-attach-corrected,2,child_id_request_to_ack_ms,100,3.84758471,0.0005081102698858711,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.848076,3.8476108875
otns,fast-attach-corrected,2,child_id_request_ack_to_child_id_response_ms,100,1.832,1.1461309530835304,1.736,1.2800000000000002,0.616,0.936,2.216,4.456,0.616,6.696,1.6400000000000001
hardware,fast-attach-corrected,2,child_id_request_ack_to_child_id_response_ms,100,9.95029926,0.9324145531631285,9.8639725,1.41704075,8.57839555,9.1701745,10.58721525,11.739790000000001,8.23307,12.057066,9.916895625
otns,fast-attach-corrected,3,parent_request_to_ack_ms,,,,,,,,,,,,
hardware,fast-attach-corrected,3,parent_request_to_ack_ms,,,,,,,,,,,,
otns,fast-attach-corrected,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
hardware,fast-attach-corrected,3,parent_request_ack_to_parent_response_ms,,,,,,,,,,,,
otns,fast-attach-corrected,3,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,fast-attach-corrected,3,parent_response_to_ack_ms,100,4.00750884,0.0005230684278390182,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.0075093875
