platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,ucast,2,parent_response_to_ack_ms,100,4.0075565399999995,0.0005004595750533694,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.007580925
otns,ucast,2,parent_response_ack_to_child_id_request_ms,100,1.9248,1.274407986938138,1.736,1.0400000000000003,0.616,1.176,2.216,4.136,0.616,9.576,1.732
hardware,ucast,2,parent_response_ack_to_child_id_request_ms,100,6.46789072,0.8740246812965969,6.549597,1.7225149999999996,5.38105965,5.4561495,7.1786645,7.742273699999999,4.945993,8.136034,6.4459294125
otns,ucast,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,ucast,2,child_id_request_to_ack_ms,100,3.8475584400000002,0.0005326248005695002,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8475542000000003
otns,ucast,2,child_id_request_ack_to_child_id_response_ms,100,1.8352,1.3164074773658216,1.576,1.2800000000000002,0.616,0.936,2.216,4.4719999999999995,0.616,8.296,1.588
hardware,ucast,2,child_id_request_ack_to_child_id_response_ms,100,9.99145983,0.9263236114872867,10.1475715,1.568377,8.6182829,9.09847025,10.66684725,11.0439185,8.330822,13.983965,9.9831640375
otns,ucast,2,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,ucast,2,adjusted_parent_request_to_response_ms,100,10.23597196,1.0955055038042634,10.1645225,1.7214917500000002,8.36625245,9.41544225,11.136934,11.99834,8.177866,12.115015,10.2422056625
otns,ucast,3,parent_request_to_response_ms,97,260.6918762886598,134.97544151987256,250.08,220.30400000000003,55.544000000000004,156.44,376.744,471.6896,11.12,496.12,260.4632911392405
hardware,ucast,3,parent_request_to_response_ms,98,250.4835298979592,146.9931305076096,244.081497,269.1205735,42.18547305,129.972339,399.0929125,473.5832809,10.535002,503.407955,248.990765225
otns,ucast,3,parent_response_to_child_id_request_ms,97,5.915793814432989,1.511424534573705,5.576,1.2800000000000002,4.616,4.936,6.216,9.159999999999997,4.616,12.936,5.608405063291139
hardware,ucast,3,parent_response_to_child_id_request_ms,98,10.511466418367347,0.8813417086087321,10.6109385,1.865863499999998,9.3825341,9.470343750000001,11.33620725,11.765396299999999,8.905888,12.328148,10.506457075
otns,ucast,3,child_id_request_to_response_ms,97,5.706309278350515,1.425918164441371,5.416,1.2800000000000002,4.456,4.776,6.056,8.616,4.456,13.096,5.4281518987341775
hardware,ucast,3,child_id_request_to_response_ms,98,13.969183,0.8289429979346883,14.184832499999999,1.1700392500000003,12.51972945,13.4208205,14.59085975,14.90560805,12.032032,15.712023,14.012926825
otns,ucast,3,full_attach_ms,97,272.3139793814433,134.77930515738646,260.432,224.78400000000002,65.896,166.792,391.576,482.4255999999999,21.792,506.472,272.1479493670886
