platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,12.504,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_096/baseline_summary_20260919T090430Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,10.584,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-replacements-20260919/run_003/baseline_summary_20260919T090454Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,child_id_request_to_response_ms,14.424,-1.2240000000000002,12.776,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_004/baseline_summary_20260919T090356Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,child_id_request_to_response_ms,12.824,-1.2240000000000002,12.776,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_030/baseline_summary_20260919T090406Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,child_id_request_to_response_ms,15.976,-1.2240000000000002,12.776,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_064/baseline_summary_20260919T090418Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,full_attach_ms,151.712,-0.9760000000000044,36.95,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_085/baseline_summary_20260919T090427Z.json,True,False,retransmission_or_repeated_attempt,retained
hardware,stock,4,child_id_request_to_response_ms,19.240856,8.815526,18.94468175,/home/ewout/.openclaw/workspace-softwaredeveloper/ESPHome-Thread-ED-Switch-Parent/testing/results/n100-comparison-2026-09/stock/4-routers/runs/run-058--20260912-165555-run18,True,False,retransmission_or_repeated_attempt,retained
hardware,fast-attach-corrected,3,parent_response_to_child_id_request_ms,22.534132,5.521773500000009,16.92181949999999,/home/ewout/.openclaw/workspace-softwaredeveloper/ESPHome-Thread-ED-Switch-Parent/testing/results/n100-comparison-2026-09/fast-attach/3-routers/runs/run-005--20260826-034540-run05,False,False,valid_complete_sequence_long_tail,retained
hardware,fast-attach-corrected,3,parent_response_to_child_id_request_ms,18.670082,5.521773500000009,16.92181949999999,/home/ewout/.openclaw/workspace-softwaredeveloper/ESPHome-Thread-ED-Switch-Parent/testing/results/n100-comparison-2026-09/fast-attach/3-routers/runs/run-014--20260826-045853-run14,False,False,valid_complete_sequence_long_tail,retained
hardware,fast-attach-corrected,3,parent_response_to_child_id_request_ms,20.604849,5.521773500000009,16.92181949999999,/home/ewout/.openclaw/workspace-softwaredeveloper/ESPHome-Thread-ED-Switch-Parent/testing/results/n100-comparison-2026-09/fast-attach/3-routers/runs/run-045--20260914-234745-run05,False,False,valid_complete_sequence_long_tail,retained
